Date,Weekly Sales,Date,Store,Dept
11/30/2012,37350.7647,11/30/2012,1,8
12/7/2012,37794.0788,12/7/2012,1,8
12/14/2012,37784.311,12/14/2012,1,8
12/21/2012,40511.5834,12/21/2012,1,8
12/28/2012,33252.9874,12/28/2012,1,8
1/4/2013,40071.6774,1/4/2013,1,8
1/11/2013,34786.2827,1/11/2013,1,8
1/18/2013,35223.0993,1/18/2013,1,8
1/25/2013,34876.6429,1/25/2013,1,8
2/1/2013,40238.0029,2/1/2013,1,8
2/8/2013,39123.6701,2/8/2013,1,8
2/15/2013,37364.6694,2/15/2013,1,8
2/22/2013,37218.071,2/22/2013,1,8
3/1/2013,40281.1691,3/1/2013,1,8
3/8/2013,39222.9831,3/8/2013,1,8
3/15/2013,36194.6178,3/15/2013,1,8
3/22/2013,35143.5784,3/22/2013,1,8
3/29/2013,35265.5775,3/29/2013,1,8
4/5/2013,40779.6899,4/5/2013,1,8
4/12/2013,37204.1861,4/12/2013,1,8
4/19/2013,37124.044,4/19/2013,1,8
4/26/2013,36966.7176,4/26/2013,1,8
5/3/2013,40247.1606,5/3/2013,1,8
5/10/2013,37687.8394,5/10/2013,1,8
5/17/2013,37573.1077,5/17/2013,1,8
5/24/2013,36912.3746,5/24/2013,1,8
5/31/2013,37488.8196,5/31/2013,1,8
6/7/2013,39894.3338,6/7/2013,1,8
6/14/2013,37689.2838,6/14/2013,1,8
6/21/2013,37452.4511,6/21/2013,1,8
6/28/2013,37414.2672,6/28/2013,1,8
7/5/2013,41275.1827,7/5/2013,1,8
7/12/2013,36752.6376,7/12/2013,1,8
7/19/2013,36677.5776,7/19/2013,1,8
7/26/2013,36743.9358,7/26/2013,1,8
11/2/2012,44262.619,11/2/2012,1,9
11/9/2012,35274.8224,11/9/2012,1,9
11/16/2012,31767.2118,11/16/2012,1,9
11/23/2012,39780.2516,11/23/2012,1,9
11/30/2012,39664.0076,11/30/2012,1,9
12/7/2012,33822.5272,12/7/2012,1,9
12/14/2012,30730.1579,12/14/2012,1,9
12/21/2012,32317.4836,12/21/2012,1,9
12/28/2012,33247.4933,12/28/2012,1,9
1/4/2013,19027.3642,1/4/2013,1,9
1/11/2013,15802.4976,1/11/2013,1,9
1/18/2013,13897.1436,1/18/2013,1,9
1/25/2013,14361.8686,1/25/2013,1,9
2/1/2013,22956.7159,2/1/2013,1,9
2/8/2013,25033.0652,2/8/2013,1,9
2/15/2013,25120.2194,2/15/2013,1,9
2/22/2013,24986.1175,2/22/2013,1,9
3/1/2013,31900.0951,3/1/2013,1,9
3/8/2013,30625.098,3/8/2013,1,9
3/15/2013,30934.3784,3/15/2013,1,9
3/22/2013,30482.7024,3/22/2013,1,9
3/29/2013,36011.8203,3/29/2013,1,9
4/5/2013,37751.8317,4/5/2013,1,9
4/12/2013,31643.0896,4/12/2013,1,9
4/19/2013,30302.028,4/19/2013,1,9
4/26/2013,31143.2892,4/26/2013,1,9
5/3/2013,32639.2559,5/3/2013,1,9
5/10/2013,28589.194,5/10/2013,1,9
5/17/2013,28713.466,5/17/2013,1,9
5/24/2013,31021.9186,5/24/2013,1,9
5/31/2013,38366.6806,5/31/2013,1,9
6/7/2013,34754.009,6/7/2013,1,9
6/14/2013,30200.4283,6/14/2013,1,9
6/21/2013,29181.8715,6/21/2013,1,9
6/28/2013,29864.1228,6/28/2013,1,9
7/5/2013,29585.7613,7/5/2013,1,9
7/12/2013,23837.5795,7/12/2013,1,9
7/19/2013,22575.1467,7/19/2013,1,9
7/26/2013,23797.5962,7/26/2013,1,9
11/2/2012,39089.3039,11/2/2012,1,10
11/9/2012,32398.497,11/9/2012,1,10
11/16/2012,30044.5539,11/16/2012,1,10
11/23/2012,32210.8842,11/23/2012,1,10
11/30/2012,34158.6921,11/30/2012,1,10
12/7/2012,33839.9579,12/7/2012,1,10
12/14/2012,30844.5221,12/14/2012,1,10
12/21/2012,30763.7992,12/21/2012,1,10
12/28/2012,30509.7142,12/28/2012,1,10
1/4/2013,27597.194,1/4/2013,1,10
1/11/2013,24166.4338,1/11/2013,1,10
1/18/2013,23550.8923,1/18/2013,1,10
1/25/2013,23557.6924,1/25/2013,1,10
2/1/2013,34531.5193,2/1/2013,1,10
2/8/2013,36302.2744,2/8/2013,1,10
2/15/2013,38587.8916,2/15/2013,1,10
2/22/2013,37208.0381,2/22/2013,1,10
3/1/2013,36648.4602,3/1/2013,1,10
3/8/2013,34812.5181,3/8/2013,1,10
3/15/2013,33344.5337,3/15/2013,1,10
3/22/2013,33305.7137,3/22/2013,1,10
3/29/2013,36263.6769,3/29/2013,1,10
4/5/2013,35401.5001,4/5/2013,1,10
4/12/2013,30587.1564,4/12/2013,1,10
4/19/2013,30972.0896,4/19/2013,1,10
4/26/2013,31419.1801,4/26/2013,1,10
5/3/2013,34064.5544,5/3/2013,1,10
5/10/2013,32611.447,5/10/2013,1,10
5/17/2013,30727.032,5/17/2013,1,10
5/24/2013,31957.6971,5/24/2013,1,10
5/31/2013,35398.8381,5/31/2013,1,10
6/7/2013,35596.2953,6/7/2013,1,10
6/14/2013,32005.5173,6/14/2013,1,10
6/21/2013,32010.7139,6/21/2013,1,10
6/28/2013,31715.789,6/28/2013,1,10
7/5/2013,32564.5699,7/5/2013,1,10
7/12/2013,30335.8592,7/12/2013,1,10
7/19/2013,29618.6826,7/19/2013,1,10
7/26/2013,30345.3205,7/26/2013,1,10
11/2/2012,25080.3257,11/2/2012,1,11
11/9/2012,22484.5499,11/9/2012,1,11
11/16/2012,22195.6404,11/16/2012,1,11
11/23/2012,27867.7094,11/23/2012,1,11
11/30/2012,27206.4587,11/30/2012,1,11
12/7/2012,34355.0113,12/7/2012,1,11
12/14/2012,31710.4619,12/14/2012,1,11
12/21/2012,32644.5993,12/21/2012,1,11
12/28/2012,23799.3077,12/28/2012,1,11
1/4/2013,24307.4542,1/4/2013,1,11
1/11/2013,24608.7293,1/11/2013,1,11
1/18/2013,21265.5259,1/18/2013,1,11
1/25/2013,20436.8535,1/25/2013,1,11
2/1/2013,22696.1097,2/1/2013,1,11
2/8/2013,24778.9954,2/8/2013,1,11
2/15/2013,25082.9542,2/15/2013,1,11
2/22/2013,21994.3505,2/22/2013,1,11
3/1/2013,21599.5171,3/1/2013,1,11
3/8/2013,22569.0749,3/8/2013,1,11
3/15/2013,24184.7664,3/15/2013,1,11
3/22/2013,24148.5501,3/22/2013,1,11
3/29/2013,24204.1508,3/29/2013,1,11
4/5/2013,26354.0033,4/5/2013,1,11
4/12/2013,23540.5874,4/12/2013,1,11
4/19/2013,21968.1078,4/19/2013,1,11
4/26/2013,22737.8139,4/26/2013,1,11
5/3/2013,24730.466,5/3/2013,1,11
5/10/2013,27364.4989,5/10/2013,1,11
5/17/2013,22307.828,5/17/2013,1,11
5/24/2013,25073.6834,5/24/2013,1,11
5/31/2013,26008.7461,5/31/2013,1,11
6/7/2013,34322.7551,6/7/2013,1,11
6/14/2013,29466.3915,6/14/2013,1,11
6/21/2013,27547.8049,6/21/2013,1,11
6/28/2013,41137.0018,6/28/2013,1,11
7/5/2013,33691.1862,7/5/2013,1,11
7/12/2013,28725.2173,7/12/2013,1,11
7/19/2013,27547.5929,7/19/2013,1,11
7/26/2013,31347.0122,7/26/2013,1,11
11/2/2012,10085.4038,11/2/2012,1,12
11/9/2012,10473.4683,11/9/2012,1,12
11/16/2012,9635.9035,11/16/2012,1,12
11/23/2012,8534.0578,11/23/2012,1,12
11/30/2012,9310.2349,11/30/2012,1,12
12/7/2012,8053.2587,12/7/2012,1,12
12/14/2012,8021.3039,12/14/2012,1,12
12/21/2012,8126.9326,12/21/2012,1,12
12/28/2012,7856.1469,12/28/2012,1,12
1/4/2013,7909.4555,1/4/2013,1,12
1/11/2013,7966.5098,1/11/2013,1,12
1/18/2013,8525.5176,1/18/2013,1,12
1/25/2013,8214.7245,1/25/2013,1,12
2/1/2013,9327.8285,2/1/2013,1,12
2/8/2013,9419.2055,2/8/2013,1,12
2/15/2013,9463.4357,2/15/2013,1,12
2/22/2013,10471.5786,2/22/2013,1,12
3/1/2013,11963.4393,3/1/2013,1,12
3/8/2013,12145.2737,3/8/2013,1,12
3/15/2013,12216.6187,3/15/2013,1,12
3/22/2013,11877.0238,3/22/2013,1,12
3/29/2013,11907.034,3/29/2013,1,12
4/5/2013,11334.9307,4/5/2013,1,12
4/12/2013,11095.5086,4/12/2013,1,12
4/19/2013,11428.1422,4/19/2013,1,12
4/26/2013,10933.0971,4/26/2013,1,12
5/3/2013,11952.7414,5/3/2013,1,12
5/10/2013,11488.5548,5/10/2013,1,12
5/17/2013,10828.3357,5/17/2013,1,12
5/24/2013,11939.814,5/24/2013,1,12
5/31/2013,11347.1108,5/31/2013,1,12
6/7/2013,12166.8322,6/7/2013,1,12
6/14/2013,11070.3573,6/14/2013,1,12
6/21/2013,10981.6241,6/21/2013,1,12
6/28/2013,11370.6737,6/28/2013,1,12
7/5/2013,12374.7043,7/5/2013,1,12
7/12/2013,11329.2115,7/12/2013,1,12
7/19/2013,11398.076,7/19/2013,1,12
7/26/2013,11178.1561,7/26/2013,1,12
11/2/2012,42283.0173,11/2/2012,1,13
11/9/2012,41402.7125,11/9/2012,1,13
11/16/2012,38711.9369,11/16/2012,1,13
11/23/2012,39156.2613,11/23/2012,1,13
11/30/2012,39104.7119,11/30/2012,1,13
12/7/2012,42299.3931,12/7/2012,1,13
12/14/2012,38267.3406,12/14/2012,1,13
12/21/2012,38552.2648,12/21/2012,1,13
12/28/2012,38967.1793,12/28/2012,1,13
1/4/2013,43637.1016,1/4/2013,1,13
1/11/2013,38784.9457,1/11/2013,1,13
1/18/2013,37330.9636,1/18/2013,1,13
1/25/2013,36030.2732,1/25/2013,1,13
2/1/2013,42240.7393,2/1/2013,1,13
2/8/2013,42935.4246,2/8/2013,1,13
2/15/2013,39020.6416,2/15/2013,1,13
2/22/2013,39396.2939,2/22/2013,1,13
3/1/2013,41174.1403,3/1/2013,1,13
3/8/2013,41431.8886,3/8/2013,1,13
3/15/2013,38548.2529,3/15/2013,1,13
3/22/2013,38256.3612,3/22/2013,1,13
3/29/2013,38789.4461,3/29/2013,1,13
4/5/2013,43580.3894,4/5/2013,1,13
4/12/2013,38929.9761,4/12/2013,1,13
4/19/2013,38914.1179,4/19/2013,1,13
4/26/2013,38851.9397,4/26/2013,1,13
5/3/2013,43447.317,5/3/2013,1,13
5/10/2013,41079.9656,5/10/2013,1,13
5/17/2013,38395.6683,5/17/2013,1,13
5/24/2013,38594.5989,5/24/2013,1,13
5/31/2013,38751.1192,5/31/2013,1,13
6/7/2013,43017.6199,6/7/2013,1,13
6/14/2013,38961.5446,6/14/2013,1,13
6/21/2013,39044.1045,6/21/2013,1,13
6/28/2013,39367.9073,6/28/2013,1,13
7/5/2013,43452.061,7/5/2013,1,13
7/12/2013,39095.2419,7/12/2013,1,13
7/19/2013,38942.8758,7/19/2013,1,13
7/26/2013,38479.9142,7/26/2013,1,13
11/2/2012,15087.7215,11/2/2012,1,14
11/9/2012,14951.154,11/9/2012,1,14
11/16/2012,17728.6819,11/16/2012,1,14
11/23/2012,37537.5634,11/23/2012,1,14
11/30/2012,21859.6672,11/30/2012,1,14
12/7/2012,24662.8672,12/7/2012,1,14
12/14/2012,30851.9285,12/14/2012,1,14
12/21/2012,44925.1539,12/21/2012,1,14
12/28/2012,23222.1253,12/28/2012,1,14
1/4/2013,14526.293,1/4/2013,1,14
1/11/2013,13989.5498,1/11/2013,1,14
1/18/2013,12823.7143,1/18/2013,1,14
1/25/2013,12336.7692,1/25/2013,1,14
2/1/2013,16534.7827,2/1/2013,1,14
2/8/2013,17644.9089,2/8/2013,1,14
2/15/2013,19983.6737,2/15/2013,1,14
2/22/2013,18593.7518,2/22/2013,1,14
3/1/2013,18442.3168,3/1/2013,1,14
3/8/2013,15797.0114,3/8/2013,1,14
3/15/2013,12940.5576,3/15/2013,1,14
3/22/2013,12668.2817,3/22/2013,1,14
3/29/2013,13179.7409,3/29/2013,1,14
4/5/2013,15116.7023,4/5/2013,1,14
4/12/2013,14515.1173,4/12/2013,1,14
4/19/2013,13130.5939,4/19/2013,1,14
4/26/2013,13915.201,4/26/2013,1,14
5/3/2013,16041.3577,5/3/2013,1,14
5/10/2013,15400.311,5/10/2013,1,14
5/17/2013,14847.9905,5/17/2013,1,14
5/24/2013,13738.1412,5/24/2013,1,14
5/31/2013,13582.2148,5/31/2013,1,14
6/7/2013,14657.1568,6/7/2013,1,14
6/14/2013,14338.7964,6/14/2013,1,14
6/21/2013,14372.7929,6/21/2013,1,14
6/28/2013,15875.4066,6/28/2013,1,14
7/5/2013,13997.5958,7/5/2013,1,14
7/12/2013,12635.4303,7/12/2013,1,14
7/19/2013,12062.5709,7/19/2013,1,14
7/26/2013,11949.8591,7/26/2013,1,14
11/2/2012,6233.1445,11/2/2012,1,16
11/9/2012,5887.4309,11/9/2012,1,16
11/16/2012,5610.3677,11/16/2012,1,16
11/23/2012,7394.4607,11/23/2012,1,16
11/30/2012,6332.0663,11/30/2012,1,16
12/7/2012,5386.3948,12/7/2012,1,16
12/14/2012,5161.6722,12/14/2012,1,16
12/21/2012,6169.3184,12/21/2012,1,16
12/28/2012,5991.0468,12/28/2012,1,16
1/4/2013,5909.6079,1/4/2013,1,16
1/11/2013,5870.5932,1/11/2013,1,16
1/18/2013,5744.2356,1/18/2013,1,16
1/25/2013,6349.247,1/25/2013,1,16
2/1/2013,10363.4578,2/1/2013,1,16
2/8/2013,10378.2628,2/8/2013,1,16
2/15/2013,12436.7406,2/15/2013,1,16
2/22/2013,19322.5923,2/22/2013,1,16
3/1/2013,29837.8591,3/1/2013,1,16
3/8/2013,30562.9352,3/8/2013,1,16
3/15/2013,36795.2507,3/15/2013,1,16
3/22/2013,43935.1471,3/22/2013,1,16
3/29/2013,48628.1758,3/29/2013,1,16
4/5/2013,57810.3103,4/5/2013,1,16
4/12/2013,53750.4668,4/12/2013,1,16
4/19/2013,48487.962,4/19/2013,1,16
4/26/2013,44192.865,4/26/2013,1,16
5/3/2013,44434.7537,5/3/2013,1,16
5/10/2013,40224.7755,5/10/2013,1,16
5/17/2013,38867.7612,5/17/2013,1,16
5/24/2013,42394.244,5/24/2013,1,16
5/31/2013,42733.5857,5/31/2013,1,16
6/7/2013,37799.8731,6/7/2013,1,16
6/14/2013,33900.8402,6/14/2013,1,16
6/21/2013,35475.6554,6/21/2013,1,16
6/28/2013,35911.4203,6/28/2013,1,16
7/5/2013,40164.206,7/5/2013,1,16
7/12/2013,24079.3414,7/12/2013,1,16
